Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Label
2663,22,6,1838,5,4,1930,3192,BENIGN
6721,443,6,236,2,2,700,1000,SQL Injection
15352,443,6,4607,7,18,1778,4770,BENIGN
39642,22,6,192,30,5,3600,600,Brute Force
46777,80,6,56392,448,4,28672,160,DDoS
15134,80,6,45118,204,1,13056,40,DDoS
7362,22,6,233,16,24,1920,2880,Brute Force
53919,89,6,94,1,1,40,40,PortScan
9204,443,6,213,3,10,1050,5000,SQL Injection
55379,741,6,74,1,0,40,0,PortScan
4027,443,17,663,8,4,1872,1296,BENIGN
42684,22,6,477,16,10,1920,1200,Brute Force
24307,430,6,86,1,1,40,40,PortScan
40944,443,6,1348,15,13,2670,12831,BENIGN
15416,443,6,186,2,5,700,2500,SQL Injection
53783,22,17,2203,3,7,990,6559,BENIGN
14958,1023,6,51,1,1,40,40,PortScan
18383,80,6,19301,352,8,22528,320,DDoS
18243,443,6,239,8,7,2800,3500,SQL Injection
10089,80,6,67784,605,1,38720,40,DDoS
57457,80,6,1320,14,20,1008,8680,BENIGN
40076,22,6,289,21,13,2520,1560,Brute Force
57436,443,6,25,3,10,1050,5000,SQL Injection
51394,697,6,15,1,1,40,40,PortScan
11389,22,6,282,5,28,600,3360,Brute Force
64717,366,6,65,1,0,40,0,PortScan
56183,408,6,20,1,1,40,40,PortScan
36372,80,6,70514,100,9,6400,360,DDoS
33045,40,6,15,1,1,40,40,PortScan
16716,119,6,31,1,0,40,0,PortScan
48990,53,6,4373,5,5,1885,2630,BENIGN
11845,443,6,155,10,8,3500,4000,SQL Injection
61901,80,6,71686,873,3,55872,120,DDoS
27172,765,6,57,1,1,40,40,PortScan
17270,443,6,2779,1,19,323,5225,BENIGN
15456,443,6,23,3,2,1050,1000,SQL Injection
5441,80,6,5117,980,5,62720,200,DDoS
34719,443,17,3986,7,18,749,14040,BENIGN
38786,443,6,262,5,9,1750,4500,SQL Injection
13502,22,6,98,8,26,960,3120,Brute Force
24243,22,6,266,18,19,2160,2280,Brute Force
45153,80,6,3308,11,4,1837,944,BENIGN
36170,80,6,59800,243,6,15552,240,DDoS
19278,80,6,61637,355,1,22720,40,DDoS
53978,22,6,491,22,8,2640,960,Brute Force
43762,80,6,1946,6,14,1728,7448,BENIGN
57689,80,6,53565,160,2,10240,80,DDoS
1165,22,6,249,13,30,1560,3600,Brute Force
19718,22,6,266,27,28,3240,3360,Brute Force
44400,443,6,269,4,5,1400,2500,SQL Injection
15291,120,6,75,1,0,40,0,PortScan
4770,103,6,75,1,1,40,40,PortScan
61276,443,6,291,4,2,1400,1000,SQL Injection
6274,443,6,115,3,3,1050,1500,SQL Injection
27485,80,6,16713,683,3,43712,120,DDoS
39986,443,6,40,3,8,1050,4000,SQL Injection
38066,443,6,287,7,6,2450,3000,SQL Injection
44915,80,6,94872,421,3,26944,120,DDoS
26962,269,6,86,1,1,40,40,PortScan
21744,22,6,434,7,5,840,600,Brute Force
41732,22,6,338,8,7,960,840,Brute Force
14993,443,6,279,6,4,2100,2000,SQL Injection
58752,141,6,32,1,1,40,40,PortScan
11362,898,6,70,1,1,40,40,PortScan
65501,443,6,290,2,10,700,5000,SQL Injection
62087,213,6,18,1,1,40,40,PortScan
59332,80,6,2241,10,20,1470,15480,BENIGN
14366,541,6,65,1,1,40,40,PortScan
60356,105,6,12,1,1,40,40,PortScan
3913,8,6,43,1,0,40,0,PortScan
11613,905,6,71,1,1,40,40,PortScan
1657,443,6,77,3,4,1050,2000,SQL Injection
3385,443,6,209,10,4,3500,2000,SQL Injection
9376,22,6,71,14,16,1680,1920,Brute Force
59935,22,6,2054,4,12,1756,7356,BENIGN
64845,22,6,367,28,9,3360,1080,Brute Force
57686,80,6,22299,919,2,58816,80,DDoS
2648,22,6,141,28,15,3360,1800,Brute Force
53599,22,6,392,28,30,3360,3600,Brute Force
18509,80,6,21866,906,1,57984,40,DDoS
58182,22,6,69,20,12,2400,1440,Brute Force
54539,80,6,61332,458,4,29312,160,DDoS
15633,80,6,4101,775,3,49600,120,DDoS
22536,22,6,192,7,29,840,3480,Brute Force
24036,819,6,87,1,1,40,40,PortScan
8583,22,6,4766,9,2,855,1300,BENIGN
23678,22,6,423,30,15,3600,1800,Brute Force
40752,22,6,311,8,17,960,2040,Brute Force
13481,443,6,150,2,8,700,4000,SQL Injection
35097,443,17,3543,3,11,1077,3971,BENIGN
48193,22,17,3355,11,13,4356,4446,BENIGN
9365,443,6,118,8,8,2800,4000,SQL Injection
41362,80,6,75593,408,6,26112,240,DDoS
55663,443,6,20,6,6,2100,3000,SQL Injection
29197,80,6,77019,721,10,46144,400,DDoS
31497,905,6,57,1,0,40,0,PortScan
32034,443,6,106,3,6,1050,3000,SQL Injection
44530,443,6,191,3,5,1050,2500,SQL Injection
15746,408,6,19,1,0,40,0,PortScan
17070,53,6,3740,14,19,1946,14725,BENIGN
33423,22,6,254,12,9,1440,1080,Brute Force
59525,80,17,1802,6,17,1662,1547,BENIGN
17355,443,6,82,9,4,3150,2000,SQL Injection
44774,22,6,321,22,24,2640,2880,Brute Force
63285,907,6,79,1,1,40,40,PortScan
30247,443,6,101,9,9,3150,4500,SQL Injection
50292,507,6,82,1,1,40,40,PortScan
32782,443,6,142,6,9,2100,4500,SQL Injection
47786,22,6,2235,11,11,5467,6523,BENIGN
10092,443,6,3147,5,7,360,3248,BENIGN
22708,22,6,327,19,18,2280,2160,Brute Force
14579,53,17,4794,1,19,234,10032,BENIGN
62807,22,17,3204,14,18,5908,14256,BENIGN
53444,443,6,132,9,5,3150,2500,SQL Injection
29586,995,6,4,1,1,40,40,PortScan
44859,829,6,93,1,0,40,0,PortScan
61287,22,6,115,24,22,2880,2640,Brute Force
60460,53,6,697,14,5,6762,2560,BENIGN
4319,80,6,35099,488,5,31232,200,DDoS
30823,80,6,43840,445,6,28480,240,DDoS
50307,864,6,33,1,0,40,0,PortScan
2294,22,6,433,22,6,2640,720,Brute Force
15718,141,6,100,1,0,40,0,PortScan
63257,443,6,176,20,5,3240,845,BENIGN
44897,22,6,108,23,11,2760,1320,Brute Force
46864,22,6,181,29,16,3480,1920,Brute Force
40731,80,6,80593,865,1,55360,40,DDoS
64247,80,6,41768,210,9,13440,360,DDoS
61899,22,17,3259,7,3,2401,2241,BENIGN
7702,80,6,92382,891,4,57024,160,DDoS
53815,443,6,81,2,7,700,3500,SQL Injection
29098,443,6,209,3,10,1050,5000,SQL Injection
1853,861,6,63,1,0,40,0,PortScan
63990,22,6,235,25,19,3000,2280,Brute Force
29564,80,6,24086,851,8,54464,320,DDoS
41388,991,6,60,1,1,40,40,PortScan
18613,443,6,185,5,3,1750,1500,SQL Injection
58802,924,6,32,1,1,40,40,PortScan
41022,443,6,214,7,2,2450,1000,SQL Injection
56792,22,6,216,10,20,1200,2400,Brute Force
24277,80,6,34862,448,4,28672,160,DDoS
46976,443,6,161,10,2,3500,1000,SQL Injection
63156,443,6,117,3,5,1050,2500,SQL Injection
33043,22,6,334,29,12,3480,1440,Brute Force
43353,22,6,414,20,19,2400,2280,Brute Force
7122,22,6,3322,8,10,3032,6350,BENIGN
32039,705,6,55,1,1,40,40,PortScan
47086,930,6,35,1,1,40,40,PortScan
16132,248,6,93,1,0,40,0,PortScan
8859,380,6,25,1,0,40,0,PortScan
19144,22,6,420,23,29,2760,3480,Brute Force
40135,443,6,164,3,5,1050,2500,SQL Injection
15932,740,6,23,1,1,40,40,PortScan
47424,443,17,382,2,18,378,13572,BENIGN
42827,80,6,99669,602,1,38528,40,DDoS
38645,22,17,3931,15,11,2010,1012,BENIGN
62697,979,6,15,1,0,40,0,PortScan
33251,22,6,87,23,25,2760,3000,Brute Force
10967,443,17,707,8,4,2600,3288,BENIGN
40759,22,6,355,30,24,3600,2880,Brute Force
51859,80,6,69494,489,7,31296,280,DDoS
